,Date,Long_rate,Country,Variable_long
14,2009,5.10083333333333,KR,FIGB_PA
15,2010,4.58583333333333,KR,FIGB_PA
16,2011,4.10583333333333,KR,FIGB_PA
17,2012,3.43333333333333,KR,FIGB_PA
18,2013,3.16483333333333,KR,FIGB_PA
19,2014,2.9805,KR,FIGB_PA
20,2015,2.10725,KR,FIGB_PA
21,2016,1.65941666666667,KR,FIGB_PA
22,2017,2.166,KR,FIGB_PA
23,2018,2.45466666666667,KR,FIGB_PA
24,2019,1.67783333333333,KR,FIGB_PA
25,2020,1.37241666666667,KR,FIGB_PA
0,2009,9.13751350841179,KG,FIGB_PA
1,2010,16.6070157260933,KG,FIGB_PA
2,2011,18.4446884735202,KG,FIGB_PA
3,2012,14.9402394289845,KG,FIGB_PA
4,2013,14.8375,KG,FIGB_PA
5,2014,14.4087481345184,KG,FIGB_PA
6,2015,15.9804722021549,KG,FIGB_PA
7,2016,16.5304396583545,KG,FIGB_PA
8,2017,13.0174704362818,KG,FIGB_PA
9,2018,11.8081481480394,KG,FIGB_PA
10,2019,10.3038788244549,KG,FIGB_PA
11,2020,11.010380869755,KG,FIGB_PA
0,2001,8.15333333333333,LT,FIGB_PA
1,2002,6.0625,LT,FIGB_PA
2,2003,5.32166666666667,LT,FIGB_PA
3,2004,4.5025,LT,FIGB_PA
4,2005,3.69833333333333,LT,FIGB_PA
5,2006,4.08083333333333,LT,FIGB_PA
6,2007,4.54583333333333,LT,FIGB_PA
7,2008,5.6075,LT,FIGB_PA
8,2009,14.0041666666667,LT,FIGB_PA
9,2010,5.56666666666667,LT,FIGB_PA
10,2011,5.16,LT,FIGB_PA
11,2012,4.83083333333333,LT,FIGB_PA
12,2013,3.83178571428571,LT,FIGB_PA
13,2014,2.7925,LT,FIGB_PA
14,2015,1.38083333333333,LT,FIGB_PA
15,2016,0.898333333333333,LT,FIGB_PA
16,2017,0.31,LT,FIGB_PA
0,1995,7.22916666666667,LU,FIGB_PA
1,1996,6.32166666666667,LU,FIGB_PA
2,1997,5.5975,LU,FIGB_PA
3,1998,4.72666666666667,LU,FIGB_PA
4,1999,4.66416666666667,LU,FIGB_PA
5,2000,5.51833333333333,LU,FIGB_PA
6,2001,4.85916666666667,LU,FIGB_PA
7,2002,4.7025,LU,FIGB_PA
8,2003,3.31583333333333,LU,FIGB_PA
9,2004,2.84416666666667,LU,FIGB_PA
10,2005,2.41416666666667,LU,FIGB_PA
11,2006,3.30333333333333,LU,FIGB_PA
12,2007,4.46083333333333,LU,FIGB_PA
13,2008,4.6075,LU,FIGB_PA
14,2009,4.22916666666667,LU,FIGB_PA
15,2010,3.1675,LU,FIGB_PA
16,2011,2.92333333333333,LU,FIGB_PA
17,2012,1.75333333333333,LU,FIGB_PA
18,2013,1.85166666666667,LU,FIGB_PA
19,2014,1.33666666666667,LU,FIGB_PA
20,2015,0.369166666666667,LU,FIGB_PA
21,2016,0.255833333333333,LU,FIGB_PA
22,2017,0.528333333333333,LU,FIGB_PA
0,1995,6.505,MY,FIGB_PA
1,1996,6.39083333333333,MY,FIGB_PA
2,1997,6.87495833333333,MY,FIGB_PA
3,1998,7.6565,MY,FIGB_PA
4,1999,5.62766666666667,MY,FIGB_PA
5,2000,5.10683333333333,MY,FIGB_PA
6,2001,3.53666666666667,MY,FIGB_PA
7,2002,3.46733333333333,MY,FIGB_PA
8,2003,3.59833333333333,MY,FIGB_PA
9,2004,4.08766666666667,MY,FIGB_PA
10,2005,3.56816666666667,MY,FIGB_PA
11,2006,4.0065,MY,FIGB_PA
12,2007,3.57191666666667,MY,FIGB_PA
13,2008,3.72916666666667,MY,FIGB_PA
14,2009,3.58941666666667,MY,FIGB_PA
15,2010,3.51891666666667,MY,FIGB_PA
16,2011,3.44808333333333,MY,FIGB_PA
