iso,year,XPTOT,IPTOT,SH_PRIM,SH_SECD,GDP,XCH_RATE,POP,TARIFF
BTN,2015,451604998.92091286,888584487.3035337,14.4368680116704,42.487085982419,1311446151.9085724,0.010203049719032232,727.885,0.5088485944956641
BTN,2016,473578136.29711777,892056494.3896018,14.3946237291342,42.5511112715639,1599009164.9011402,0.01102211497727617,736.706,0.729636549209563
BTN,2017,572746746.625834,1003850350.315007,15.0336188059309,41.8429636345125,1903876412.3465705,0.011931172705296793,745.563,0.6686288525748145
BTN,2018,565197820.8924472,1024973188.664869,15.991248235553,38.2034608946087,1834003545.2976923,0.010959751144641162,754.396,0.797391663125596
BTN,2019,674215838.004989,998235873.7995265,15.8160219288359,36.131743608331,1982544796.2502801,0.011125267274331324,763.094,
BTN,2020,,,,,1879223993.9636803,0.010526371603795848,771.612,
BWA,2014,5774226992.727787,5473121170.642959,2.08773310526073,33.0789210083308,9876081430.139624,0.0677054350221334,2088.619,19.410512299999752
BWA,2015,4702058531.476218,5297062278.322795,2.20106991849724,29.9804632956289,9438934268.49664,0.06462099096057675,2120.716,
BWA,2016,6090898420.429191,5122126094.327193,2.04974090575456,32.0946303456123,11588229069.860403,0.06794089591675682,2159.925,
BWA,2017,5364881547.613151,4859359376.000443,1.9898507063047,29.8352209631287,13523736073.213634,0.07508895286367327,2205.076,27.604860417896425
